,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6577711111111111,0.0
0,-1,-1,100.0,[0],[0],0.7038666666666666,1.0
0,-1,-1,100.0,[0],[0],0.6469011111111111,2.0
0,-1,-1,100.0,[0],[0],0.6297233333333333,3.0
0,-1,-1,100.0,[0],[0],0.6926666666666667,4.0
0,-1,-1,100.0,[0],[0],0.7142666666666667,5.0
0,-1,-1,100.0,[0],[0],0.6323144444444444,6.0
0,-1,-1,100.0,[0],[0],0.6710666666666667,7.0
0,-1,-1,100.0,[0],[0],0.6938666666666666,8.0
0,-1,-1,100.0,[0],[0],0.6726666666666666,9.0
0,-1,-1,100.0,[0],[0],0.7232,10.0
0,-1,-1,100.0,[0],[0],0.7503911111111111,11.0
0,-1,-1,100.0,[0],[0],0.6979333333333333,12.0
0,-1,-1,100.0,[0],[0],0.6640288888888889,13.0
0,-1,-1,100.0,[0],[0],0.7054,14.0
0,-1,-1,0.0,[1],[0],0.6997333333333333,15.0
0,-1,-1,100.0,[0],[0],0.6652,16.0
0,-1,-1,100.0,[0],[0],0.6518666666666667,17.0
0,-1,-1,0.0,[0],[1],0.6212644444444444,18.0
0,-1,-1,0.0,[0],[1],0.7152666666666667,19.0
0,-1,-1,100.0,[0],[0],0.6577333333333333,20.0
0,-1,-1,100.0,[0],[0],0.6938344444444444,21.0
0,-1,-1,100.0,[0],[0],0.686,22.0
0,-1,-1,0.0,[0],[1],0.7670666666666667,23.0
0,-1,-1,100.0,[0],[0],0.7868666666666667,24.0
0,-1,-1,0.0,[0],[1],0.6391333333333333,25.0
0,-1,-1,0.0,[0],[1],0.7363333333333333,26.0
0,-1,-1,100.0,[0],[0],0.6626,27.0
0,-1,-1,100.0,[0],[0],0.6228711111111112,28.0
0,-1,-1,0.0,[1],[0],0.5856577777777778,29.0
0,-1,-1,0.0,[0],[1],0.6421888888888889,30.0
0,-1,-1,0.0,[0],[1],0.7565333333333333,31.0
0,-1,-1,100.0,[0],[0],0.7046666666666667,32.0
0,-1,-1,100.0,[0],[0],0.7238,33.0
0,-1,-1,0.0,[1],[0],0.6605222222222222,34.0
0,-1,-1,0.0,[0],[1],0.7578666666666667,35.0
0,-1,-1,0.0,[0],[1],0.7370666666666666,36.0
0,-1,-1,100.0,[0],[0],0.6092,37.0
0,-1,-1,100.0,[0],[0],0.6458177777777778,38.0
0,-1,-1,0.0,[0],[1],0.64928,39.0
0,-1,-1,100.0,[0],[0],0.6506,40.0
0,-1,-1,100.0,[0],[0],0.669,41.0
0,-1,-1,0.0,[0],[1],0.6851333333333334,42.0
0,-1,-1,100.0,[0],[0],0.6914,43.0
0,-1,-1,100.0,[0],[0],0.6472,44.0
0,-1,-1,0.0,[0],[1],0.6184588888888889,45.0
