,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.39023,0.0
0,-1,-1,0.0,[1],[0],0.4344,1.0
0,-1,-1,100.0,[0],[0],0.4416933333333333,2.0
0,-1,-1,100.0,[0],[0],0.36734,3.0
0,-1,-1,100.0,[0],[0],0.4399233333333333,4.0
0,-1,-1,0.0,[1],[0],0.4421333333333333,5.0
0,-1,-1,100.0,[0],[0],0.38941,6.0
0,-1,-1,0.0,[1],[0],0.4146,7.0
0,-1,-1,0.0,[1],[0],0.4442,8.0
0,-1,-1,100.0,[0],[0],0.4172666666666667,9.0
0,-1,-1,100.0,[0],[0],0.4186166666666667,10.0
0,-1,-1,100.0,[0],[0],0.39894,11.0
0,-1,-1,0.0,[1],[0],0.4271,12.0
0,-1,-1,100.0,[0],[0],0.40837,13.0
0,-1,-1,0.0,[1],[0],0.4179,14.0
0,-1,-1,0.0,[1],[0],0.4227333333333333,15.0
0,-1,-1,0.0,[1],[0],0.4014666666666667,16.0
0,-1,-1,100.0,[0],[0],0.3980666666666667,17.0
0,-1,-1,0.0,[0],[1],0.41418,18.0
0,-1,-1,100.0,[1],[1],0.3970666666666667,19.0
0,-1,-1,100.0,[0],[0],0.3723333333333333,20.0
0,-1,-1,100.0,[0],[0],0.42861,21.0
0,-1,-1,0.0,[1],[0],0.453,22.0
0,-1,-1,100.0,[1],[1],0.4192666666666667,23.0
0,-1,-1,0.0,[1],[0],0.4298,24.0
0,-1,-1,0.0,[0],[1],0.4375333333333333,25.0
0,-1,-1,100.0,[1],[1],0.4051333333333333,26.0
0,-1,-1,0.0,[1],[0],0.4273333333333333,27.0
0,-1,-1,100.0,[0],[0],0.3885666666666666,28.0
0,-1,-1,100.0,[0],[0],0.3924466666666666,29.0
0,-1,-1,0.0,[0],[1],0.399,30.0
0,-1,-1,100.0,[1],[1],0.4253266666666667,31.0
0,-1,-1,0.0,[1],[0],0.4449333333333333,32.0
0,-1,-1,0.0,[1],[0],0.4358966666666666,33.0
0,-1,-1,100.0,[0],[0],0.4262066666666667,34.0
0,-1,-1,0.0,[0],[1],0.385,35.0
0,-1,-1,0.0,[0],[1],0.3766,36.0
0,-1,-1,100.0,[0],[0],0.4208666666666666,37.0
0,-1,-1,0.0,[1],[0],0.4068133333333333,38.0
0,-1,-1,0.0,[0],[1],0.4056866666666666,39.0
0,-1,-1,0.0,[1],[0],0.517,40.0
0,-1,-1,0.0,[1],[0],0.446,41.0
0,-1,-1,0.0,[0],[1],0.4564666666666667,42.0
0,-1,-1,100.0,[0],[0],0.4338666666666667,43.0
0,-1,-1,0.0,[1],[0],0.4981366666666666,44.0
0,-1,-1,100.0,[1],[1],0.4552333333333333,45.0
0,-1,-1,100.0,[0],[0],0.39023,0.0
0,-1,-1,0.0,[1],[0],0.4344,1.0
0,-1,-1,0.0,[1],[0],0.4416933333333333,2.0
0,-1,-1,0.0,[1],[0],0.36734,3.0
0,-1,-1,0.0,[1],[0],0.4399233333333333,4.0
0,-1,-1,0.0,[1],[0],0.4421333333333333,5.0
