,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0039233333333333,0.0
0,-1,-1,100.0,[0],[0],0.0063133333333333,1.0
0,-1,-1,0.0,[1],[0],0.0071933333333333,2.0
0,-1,-1,100.0,[0],[0],0.0052433333333333,3.0
0,-1,-1,100.0,[0],[0],0.0036766666666666,4.0
0,-1,-1,0.0,[1],[0],0.0073366666666666,5.0
0,-1,-1,0.0,[1],[0],0.0015533333333333,6.0
0,-1,-1,100.0,[0],[0],0.00539,7.0
0,-1,-1,100.0,[0],[0],0.0050233333333333,8.0
0,-1,-1,100.0,[0],[0],0.0073866666666666,9.0
0,-1,-1,100.0,[0],[0],0.0092533333333333,10.0
0,-1,-1,0.0,[1],[0],0.0036466666666666,11.0
0,-1,-1,0.0,[1],[0],0.0113133333333333,12.0
0,-1,-1,100.0,[0],[0],0.0039866666666666,13.0
0,-1,-1,0.0,[1],[0],0.0073666666666666,14.0
0,-1,-1,0.0,[1],[0],0.0048366666666666,15.0
0,-1,-1,100.0,[0],[0],0.0174966666666666,16.0
0,-1,-1,100.0,[0],[0],0.0106733333333333,17.0
0,-1,-1,0.0,[0],[1],0.0070166666666666,18.0
0,-1,-1,0.0,[0],[1],0.00727,19.0
0,-1,-1,100.0,[0],[0],0.0101933333333333,20.0
0,-1,-1,100.0,[0],[0],0.0146933333333333,21.0
0,-1,-1,100.0,[0],[0],0.00847,22.0
0,-1,-1,100.0,[1],[1],0.00195,23.0
0,-1,-1,0.0,[1],[0],0.00315,24.0
0,-1,-1,0.0,[0],[1],0.00893,25.0
0,-1,-1,0.0,[0],[1],0.0079666666666666,26.0
0,-1,-1,100.0,[0],[0],0.00447,27.0
0,-1,-1,0.0,[1],[0],0.0040066666666666,28.0
0,-1,-1,100.0,[0],[0],0.0050733333333333,29.0
0,-1,-1,0.0,[0],[1],0.0120966666666666,30.0
0,-1,-1,0.0,[0],[1],0.00728,31.0
0,-1,-1,100.0,[0],[0],0.0021533333333333,32.0
0,-1,-1,100.0,[0],[0],0.0016,33.0
0,-1,-1,100.0,[0],[0],0.00296,34.0
0,-1,-1,0.0,[0],[1],0.0124533333333333,35.0
0,-1,-1,100.0,[1],[1],0.0077566666666666,36.0
0,-1,-1,100.0,[0],[0],0.0086366666666666,37.0
0,-1,-1,0.0,[1],[0],0.0055833333333333,38.0
0,-1,-1,0.0,[0],[1],0.0088233333333333,39.0
0,-1,-1,100.0,[0],[0],0.01733,40.0
0,-1,-1,100.0,[0],[0],0.01532,41.0
0,-1,-1,0.0,[0],[1],0.0134833333333333,42.0
0,-1,-1,100.0,[0],[0],0.0065166666666666,43.0
0,-1,-1,100.0,[0],[0],0.0062266666666666,44.0
0,-1,-1,0.0,[0],[1],0.00316,45.0
0,-1,-1,100.0,[0],[0],0.0039233333333333,0.0
0,-1,-1,100.0,[0],[0],0.0063133333333333,1.0
0,-1,-1,100.0,[0],[0],0.0071933333333333,2.0
0,-1,-1,100.0,[0],[0],0.005243333333333333,3.0
