,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.6962988888888889,0.0
0,-1,-1,100.0,[0],[0],0.5914666666666667,1.0
0,-1,-1,100.0,[0],[0],0.6285988888888889,2.0
0,-1,-1,0.0,[1],[0],0.6821811111111111,3.0
0,-1,-1,100.0,[0],[0],0.6336,4.0
0,-1,-1,100.0,[0],[0],0.6638,5.0
0,-1,-1,100.0,[0],[0],0.6530588888888889,6.0
0,-1,-1,100.0,[0],[0],0.6977333333333333,7.0
0,-1,-1,100.0,[0],[0],0.7168666666666667,8.0
0,-1,-1,100.0,[0],[0],0.5960666666666666,9.0
0,-1,-1,100.0,[0],[0],0.6808,10.0
0,-1,-1,100.0,[0],[0],0.61818,11.0
0,-1,-1,0.0,[1],[0],0.6536666666666666,12.0
0,-1,-1,100.0,[0],[0],0.5695977777777778,13.0
0,-1,-1,100.0,[0],[0],0.6362666666666666,14.0
0,-1,-1,100.0,[0],[0],0.6185333333333334,15.0
0,-1,-1,100.0,[0],[0],0.66,16.0
0,-1,-1,100.0,[0],[0],0.6067333333333333,17.0
0,-1,-1,0.0,[0],[1],0.6284022222222222,18.0
0,-1,-1,0.0,[0],[1],0.7092666666666667,19.0
0,-1,-1,100.0,[0],[0],0.6838,20.0
0,-1,-1,100.0,[0],[0],0.5228155555555556,21.0
0,-1,-1,100.0,[0],[0],0.5972,22.0
0,-1,-1,0.0,[0],[1],0.6612,23.0
0,-1,-1,100.0,[0],[0],0.7363333333333333,24.0
0,-1,-1,0.0,[0],[1],0.7045333333333333,25.0
0,-1,-1,0.0,[0],[1],0.5918666666666667,26.0
0,-1,-1,100.0,[0],[0],0.6887333333333333,27.0
0,-1,-1,100.0,[0],[0],0.4993422222222222,28.0
0,-1,-1,100.0,[0],[0],0.6691955555555555,29.0
0,-1,-1,0.0,[0],[1],0.6730777777777778,30.0
0,-1,-1,0.0,[0],[1],0.6144,31.0
0,-1,-1,100.0,[0],[0],0.6557333333333333,32.0
0,-1,-1,100.0,[0],[0],0.6533333333333333,33.0
0,-1,-1,100.0,[0],[0],0.5309544444444444,34.0
0,-1,-1,0.0,[0],[1],0.7345333333333334,35.0
0,-1,-1,0.0,[0],[1],0.6790666666666667,36.0
0,-1,-1,100.0,[0],[0],0.6302666666666666,37.0
0,-1,-1,100.0,[0],[0],0.49872,38.0
0,-1,-1,0.0,[0],[1],0.6759111111111111,39.0
0,-1,-1,100.0,[0],[0],0.6505333333333333,40.0
0,-1,-1,100.0,[0],[0],0.743,41.0
0,-1,-1,100.0,[1],[1],0.6113333333333333,42.0
0,-1,-1,100.0,[0],[0],0.7194666666666667,43.0
0,-1,-1,100.0,[0],[0],0.6981333333333334,44.0
0,-1,-1,100.0,[1],[1],0.7573366666666667,45.0
