,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4170422222222222,0.0
0,-1,-1,100.0,[0],[0],0.4753,1.0
0,-1,-1,100.0,[0],[0],0.3753177777777777,2.0
0,-1,-1,100.0,[0],[0],0.3438011111111111,3.0
0,-1,-1,100.0,[0],[0],0.4503455555555555,4.0
0,-1,-1,100.0,[0],[0],0.5091655555555555,5.0
0,-1,-1,100.0,[0],[0],0.3315722222222222,6.0
0,-1,-1,100.0,[0],[0],0.4966366666666666,7.0
0,-1,-1,100.0,[0],[0],0.4787922222222222,8.0
0,-1,-1,100.0,[0],[0],0.4129622222222222,9.0
0,-1,-1,100.0,[0],[0],0.4250422222222222,10.0
0,-1,-1,100.0,[0],[0],0.4017722222222222,11.0
0,-1,-1,100.0,[0],[0],0.5082466666666666,12.0
0,-1,-1,0.0,[1],[0],0.3807966666666666,13.0
0,-1,-1,100.0,[0],[0],0.4253277777777778,14.0
0,-1,-1,100.0,[0],[0],0.4634611111111111,15.0
0,-1,-1,100.0,[0],[0],0.4856211111111111,16.0
0,-1,-1,100.0,[0],[0],0.5080666666666667,17.0
0,-1,-1,0.0,[0],[1],0.2833733333333333,18.0
0,-1,-1,0.0,[0],[1],0.4951422222222222,19.0
0,-1,-1,100.0,[0],[0],0.5280677777777778,20.0
0,-1,-1,100.0,[0],[0],0.3807044444444444,21.0
0,-1,-1,100.0,[0],[0],0.4956411111111111,22.0
0,-1,-1,0.0,[0],[1],0.5519444444444445,23.0
0,-1,-1,0.0,[1],[0],0.5138633333333333,24.0
0,-1,-1,100.0,[1],[1],0.4683722222222222,25.0
0,-1,-1,0.0,[0],[1],0.5166944444444445,26.0
0,-1,-1,100.0,[0],[0],0.4951577777777777,27.0
0,-1,-1,100.0,[0],[0],0.2277477777777777,28.0
0,-1,-1,100.0,[0],[0],0.3094633333333333,29.0
0,-1,-1,0.0,[0],[1],0.2898777777777778,30.0
0,-1,-1,100.0,[1],[1],0.52117,31.0
0,-1,-1,100.0,[0],[0],0.5033277777777778,32.0
0,-1,-1,100.0,[0],[0],0.4377322222222222,33.0
0,-1,-1,100.0,[0],[0],0.4108577777777777,34.0
0,-1,-1,100.0,[1],[1],0.5259011111111112,35.0
0,-1,-1,0.0,[0],[1],0.5561666666666667,36.0
0,-1,-1,100.0,[0],[0],0.5024488888888888,37.0
0,-1,-1,100.0,[0],[0],0.2266755555555555,38.0
0,-1,-1,100.0,[1],[1],0.2530922222222222,39.0
0,-1,-1,100.0,[0],[0],0.5240288888888889,40.0
0,-1,-1,0.0,[1],[0],0.5188488888888889,41.0
0,-1,-1,100.0,[1],[1],0.3950111111111111,42.0
0,-1,-1,100.0,[0],[0],0.47568,43.0
0,-1,-1,100.0,[0],[0],0.5181888888888889,44.0
0,-1,-1,0.0,[0],[1],0.4156811111111111,45.0
