fold,sparsity
0,0.48780555555555555
1,0.5938766666666667
2,0.45411111111111113
3,0.41104111111111113
4,0.5170877777777778
5,0.6118922222222222
6,0.39939555555555556
7,0.6044733333333333
8,0.5727422222222223
9,0.5023644444444444
10,0.5075622222222222
11,0.47803444444444443
12,0.6014944444444444
13,0.44717555555555555
14,0.5152211111111111
15,0.5557022222222222
16,0.6067666666666667
17,0.5970288888888889
18,0.34421
19,0.6104811111111111
20,0.6393488888888889
21,0.4531455555555556
22,0.5896277777777778
23,0.6801833333333334
24,0.6254844444444444
25,0.5727844444444444
26,0.6393833333333333
27,0.6009766666666667
28,0.2721688888888889
29,0.3773288888888889
30,0.3458677777777778
31,0.6434433333333334
32,0.6085233333333333
33,0.5254877777777778
34,0.5017211111111111
35,0.6357877777777777
36,0.6558577777777778
37,0.6130033333333333
38,0.2728288888888889
39,0.30899666666666664
40,0.6188055555555556
41,0.5973888888888889
42,0.4700711111111111
43,0.5797588888888889
44,0.6235577777777778
45,0.5055744444444444
