fold,sparsity
0,0.6109711111111111
1,0.7286666666666667
2,0.6119805555555555
3,0.6080555555555556
4,0.7385333333333334
5,0.7808
6,0.6119633333333333
7,0.7428666666666667
8,0.7378133333333333
9,0.734
10,0.7088
11,0.6165322222222223
12,0.7318666666666667
13,0.6216633333333333
14,0.6597333333333333
15,0.7218
16,0.7407333333333334
17,0.749
18,0.47485777777777777
19,0.7668
20,0.7464
21,0.6083155555555556
22,0.7458666666666667
23,0.7158666666666667
24,0.7342666666666666
25,0.7380666666666666
26,0.758
27,0.74766
28,0.41504555555555556
29,0.47033
30,0.47712444444444446
31,0.7394
32,0.7458666666666667
33,0.6860666666666667
34,0.5953155555555556
35,0.7480666666666667
36,0.735
37,0.7318
38,0.4028716666666667
39,0.4904588888888889
40,0.7522
41,0.7544666666666666
42,0.7328
43,0.7528361111111112
44,0.7968
45,0.6198155555555556
