,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.7168481481481481,0.0
0,-1,-1,0.0,[1],[0],0.8818,1.0
0,-1,-1,0.0,[1],[0],0.7106707407407408,2.0
0,-1,-1,100.0,[0],[0],0.6977192592592593,3.0
0,-1,-1,0.0,[1],[0],0.8726666666666667,4.0
0,-1,-1,0.0,[1],[0],0.8884,5.0
0,-1,-1,0.0,[1],[0],0.7339925925925926,6.0
0,-1,-1,0.0,[1],[0],0.8693333333333333,7.0
0,-1,-1,100.0,[0],[0],0.8849333333333333,8.0
0,-1,-1,0.0,[1],[0],0.7581333333333333,9.0
0,-1,-1,0.0,[1],[0],0.8764666666666666,10.0
0,-1,-1,0.0,[1],[0],0.7201485185185185,11.0
0,-1,-1,0.0,[1],[0],0.8652666666666666,12.0
0,-1,-1,0.0,[1],[0],0.7072444444444445,13.0
0,-1,-1,0.0,[1],[0],0.8333762962962963,14.0
0,-1,-1,0.0,[1],[0],0.8906666666666667,15.0
0,-1,-1,0.0,[1],[0],0.8754666666666666,16.0
0,-1,-1,0.0,[1],[0],0.8839333333333333,17.0
0,-1,-1,100.0,[1],[1],0.5414466666666666,18.0
0,-1,-1,100.0,[1],[1],0.8772,19.0
0,-1,-1,0.0,[1],[0],0.8445333333333334,20.0
0,-1,-1,0.0,[1],[0],0.6969566666666667,21.0
0,-1,-1,0.0,[1],[0],0.8772666666666666,22.0
0,-1,-1,100.0,[1],[1],0.8454666666666667,23.0
0,-1,-1,0.0,[1],[0],0.8612666666666666,24.0
0,-1,-1,100.0,[1],[1],0.8706666666666667,25.0
0,-1,-1,100.0,[1],[1],0.863,26.0
0,-1,-1,0.0,[1],[0],0.8637333333333334,27.0
0,-1,-1,0.0,[1],[0],0.5260229629629629,28.0
0,-1,-1,0.0,[1],[0],0.5398577777777778,29.0
0,-1,-1,0.0,[0],[1],0.5595748148148149,30.0
0,-1,-1,100.0,[1],[1],0.8712,31.0
0,-1,-1,0.0,[1],[0],0.8585333333333334,32.0
0,-1,-1,0.0,[1],[0],0.8858,33.0
0,-1,-1,0.0,[1],[0],0.7130214814814815,34.0
0,-1,-1,100.0,[1],[1],0.8875333333333333,35.0
0,-1,-1,100.0,[1],[1],0.8714,36.0
0,-1,-1,0.0,[1],[0],0.8992666666666667,37.0
0,-1,-1,0.0,[1],[0],0.4875888888888889,38.0
0,-1,-1,0.0,[0],[1],0.44476,39.0
0,-1,-1,0.0,[1],[0],0.8728,40.0
0,-1,-1,0.0,[1],[0],0.8526666666666667,41.0
0,-1,-1,100.0,[1],[1],0.8784666666666666,42.0
0,-1,-1,100.0,[0],[0],0.9010666666666668,43.0
0,-1,-1,100.0,[0],[0],0.8694666666666667,44.0
0,-1,-1,100.0,[1],[1],0.7179329629629629,45.0
