,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0036,0.0
0,-1,-1,100.0,[0],[0],0.0062916666666666,1.0
0,-1,-1,100.0,[0],[0],0.0066916666666666,2.0
0,-1,-1,100.0,[0],[0],0.0053666666666666,3.0
0,-1,-1,100.0,[0],[0],0.0034333333333333,4.0
0,-1,-1,100.0,[0],[0],0.0078,5.0
0,-1,-1,100.0,[0],[0],0.0014583333333333,6.0
0,-1,-1,100.0,[0],[0],0.0052,7.0
0,-1,-1,100.0,[0],[0],0.005025,8.0
0,-1,-1,100.0,[0],[0],0.007075,9.0
0,-1,-1,100.0,[0],[0],0.009475,10.0
0,-1,-1,100.0,[0],[0],0.0033166666666666,11.0
0,-1,-1,0.0,[1],[0],0.0118,12.0
0,-1,-1,100.0,[0],[0],0.0040333333333333,13.0
0,-1,-1,100.0,[0],[0],0.007125,14.0
0,-1,-1,100.0,[0],[0],0.0046333333333333,15.0
0,-1,-1,0.0,[1],[0],0.0175583333333333,16.0
0,-1,-1,100.0,[0],[0],0.01035,17.0
0,-1,-1,0.0,[0],[1],0.0070416666666666,18.0
0,-1,-1,0.0,[0],[1],0.0079916666666666,19.0
0,-1,-1,100.0,[0],[0],0.0107916666666666,20.0
0,-1,-1,100.0,[0],[0],0.0142333333333333,21.0
0,-1,-1,100.0,[0],[0],0.0087166666666666,22.0
0,-1,-1,0.0,[0],[1],0.002175,23.0
0,-1,-1,100.0,[0],[0],0.0025583333333333,24.0
0,-1,-1,0.0,[0],[1],0.00875,25.0
0,-1,-1,0.0,[0],[1],0.008475,26.0
0,-1,-1,100.0,[0],[0],0.0044,27.0
0,-1,-1,100.0,[0],[0],0.0042916666666666,28.0
0,-1,-1,100.0,[0],[0],0.0052833333333333,29.0
0,-1,-1,100.0,[1],[1],0.012025,30.0
0,-1,-1,0.0,[0],[1],0.0071583333333333,31.0
0,-1,-1,100.0,[0],[0],0.002125,32.0
0,-1,-1,100.0,[0],[0],0.001475,33.0
0,-1,-1,100.0,[0],[0],0.0030333333333333,34.0
0,-1,-1,0.0,[0],[1],0.01355,35.0
0,-1,-1,100.0,[1],[1],0.00735,36.0
0,-1,-1,100.0,[0],[0],0.0091,37.0
0,-1,-1,100.0,[0],[0],0.0054416666666666,38.0
0,-1,-1,0.0,[0],[1],0.0091833333333333,39.0
0,-1,-1,0.0,[1],[0],0.0173166666666666,40.0
0,-1,-1,0.0,[1],[0],0.0161,41.0
0,-1,-1,100.0,[1],[1],0.013775,42.0
0,-1,-1,100.0,[0],[0],0.0060166666666666,43.0
0,-1,-1,0.0,[1],[0],0.0066666666666666,44.0
0,-1,-1,0.0,[0],[1],0.0031,45.0
