,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0377666666666666,0.0
0,-1,-1,100.0,[0],[0],0.0575916666666666,1.0
0,-1,-1,100.0,[0],[0],0.0457166666666666,2.0
0,-1,-1,100.0,[0],[0],0.0568583333333333,3.0
0,-1,-1,100.0,[0],[0],0.0348583333333333,4.0
0,-1,-1,100.0,[0],[0],0.06515,5.0
0,-1,-1,100.0,[0],[0],0.0323916666666666,6.0
0,-1,-1,100.0,[0],[0],0.0540333333333333,7.0
0,-1,-1,100.0,[0],[0],0.0518083333333333,8.0
0,-1,-1,100.0,[0],[0],0.0769166666666666,9.0
0,-1,-1,100.0,[0],[0],0.0607833333333333,10.0
0,-1,-1,100.0,[0],[0],0.0422916666666666,11.0
0,-1,-1,0.0,[1],[0],0.073775,12.0
0,-1,-1,100.0,[0],[0],0.03775,13.0
0,-1,-1,100.0,[0],[0],0.068975,14.0
0,-1,-1,100.0,[0],[0],0.0403416666666666,15.0
0,-1,-1,0.0,[1],[0],0.09965,16.0
0,-1,-1,100.0,[0],[0],0.1013166666666666,17.0
0,-1,-1,0.0,[0],[1],0.0699083333333333,18.0
0,-1,-1,100.0,[1],[1],0.0659833333333333,19.0
0,-1,-1,0.0,[1],[0],0.114275,20.0
0,-1,-1,100.0,[0],[0],0.0853833333333333,21.0
0,-1,-1,0.0,[1],[0],0.0657666666666666,22.0
0,-1,-1,0.0,[0],[1],0.0391,23.0
0,-1,-1,0.0,[1],[0],0.046875,24.0
0,-1,-1,0.0,[0],[1],0.10325,25.0
0,-1,-1,100.0,[1],[1],0.0857833333333333,26.0
0,-1,-1,100.0,[0],[0],0.054533333333333336,27.0
