fold,sparsity
0,0.0036
1,0.006291666666666667
2,0.006691666666666667
3,0.005366666666666666
4,0.0034333333333333334
5,0.0078
6,0.0014583333333333334
7,0.0052
8,0.005025
9,0.007075
10,0.009475
11,0.0033166666666666665
12,0.0118
13,0.004033333333333333
14,0.007125
15,0.004633333333333333
16,0.017558333333333332
17,0.01035
18,0.0070416666666666666
19,0.007991666666666666
20,0.010791666666666666
21,0.014233333333333334
22,0.008716666666666666
23,0.002175
24,0.0025583333333333335
25,0.00875
26,0.008475
27,0.0044
28,0.004291666666666667
29,0.0052833333333333335
30,0.012025
31,0.007158333333333333
32,0.002125
33,0.001475
34,0.003033333333333333
35,0.01355
36,0.00735
37,0.0091
38,0.005441666666666667
39,0.009183333333333333
40,0.017316666666666668
41,0.0161
42,0.013775
43,0.006016666666666667
44,0.006666666666666667
45,0.0031
