,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4754911111111111,0.0
0,-1,-1,100.0,[0],[0],0.5970911111111111,1.0
0,-1,-1,100.0,[0],[0],0.4484233333333333,2.0
0,-1,-1,100.0,[0],[0],0.41726,3.0
0,-1,-1,100.0,[0],[0],0.5032288888888888,4.0
0,-1,-1,100.0,[0],[0],0.5914222222222222,5.0
0,-1,-1,100.0,[0],[0],0.3981788888888889,6.0
0,-1,-1,100.0,[0],[0],0.5760144444444445,7.0
0,-1,-1,0.0,[1],[0],0.5584722222222223,8.0
0,-1,-1,0.0,[1],[0],0.5010877777777778,9.0
0,-1,-1,100.0,[0],[0],0.49881,10.0
0,-1,-1,100.0,[0],[0],0.46577,11.0
0,-1,-1,0.0,[1],[0],0.5927077777777777,12.0
0,-1,-1,100.0,[0],[0],0.4305077777777777,13.0
0,-1,-1,100.0,[0],[0],0.5136122222222222,14.0
0,-1,-1,0.0,[1],[0],0.5334455555555555,15.0
0,-1,-1,0.0,[1],[0],0.5933911111111111,16.0
0,-1,-1,100.0,[0],[0],0.5904466666666667,17.0
0,-1,-1,100.0,[1],[1],0.3429277777777778,18.0
0,-1,-1,100.0,[1],[1],0.6072933333333334,19.0
0,-1,-1,100.0,[0],[0],0.6341733333333334,20.0
0,-1,-1,100.0,[0],[0],0.4500033333333333,21.0
0,-1,-1,0.0,[1],[0],0.59501,22.0
0,-1,-1,100.0,[1],[1],0.6822911111111111,23.0
0,-1,-1,100.0,[0],[0],0.6250366666666667,24.0
0,-1,-1,0.0,[0],[1],0.5742122222222222,25.0
0,-1,-1,0.0,[0],[1],0.6251966666666666,26.0
0,-1,-1,100.0,[0],[0],0.5952133333333334,27.0
0,-1,-1,100.0,[0],[0],0.2738277777777778,28.0
0,-1,-1,0.0,[1],[0],0.3774622222222222,29.0
0,-1,-1,100.0,[1],[1],0.3511233333333333,30.0
0,-1,-1,0.0,[0],[1],0.63445,31.0
0,-1,-1,100.0,[0],[0],0.60041,32.0
0,-1,-1,100.0,[0],[0],0.5157566666666666,33.0
0,-1,-1,0.0,[1],[0],0.4963877777777777,34.0
0,-1,-1,0.0,[0],[1],0.6366344444444444,35.0
0,-1,-1,100.0,[1],[1],0.6591844444444445,36.0
0,-1,-1,0.0,[1],[0],0.6110055555555556,37.0
0,-1,-1,100.0,[0],[0],0.2663866666666666,38.0
0,-1,-1,0.0,[0],[1],0.2973922222222222,39.0
0,-1,-1,100.0,[0],[0],0.6189211111111111,40.0
0,-1,-1,100.0,[0],[0],0.5978144444444444,41.0
0,-1,-1,0.0,[0],[1],0.4587933333333333,42.0
0,-1,-1,0.0,[1],[0],0.5989266666666667,43.0
0,-1,-1,100.0,[0],[0],0.6241633333333333,44.0
0,-1,-1,0.0,[0],[1],0.5233833333333333,45.0
