,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6499877777777778,0.0
0,-1,-1,100.0,[0],[0],0.8005288888888888,1.0
0,-1,-1,100.0,[0],[0],0.6161422222222223,2.0
0,-1,-1,100.0,[0],[0],0.5518877777777778,3.0
0,-1,-1,100.0,[0],[0],0.7145844444444445,4.0
0,-1,-1,0.0,[1],[0],0.8011866666666667,5.0
0,-1,-1,100.0,[0],[0],0.5303011111111111,6.0
0,-1,-1,0.0,[1],[0],0.7890255555555555,7.0
0,-1,-1,0.0,[1],[0],0.7661733333333334,8.0
0,-1,-1,100.0,[0],[0],0.6749988888888889,9.0
0,-1,-1,100.0,[0],[0],0.70222,10.0
0,-1,-1,100.0,[0],[0],0.63791,11.0
0,-1,-1,0.0,[1],[0],0.79885,12.0
0,-1,-1,0.0,[1],[0],0.5939066666666667,13.0
0,-1,-1,100.0,[0],[0],0.6800777777777778,14.0
0,-1,-1,100.0,[0],[0],0.7333244444444444,15.0
0,-1,-1,100.0,[0],[0],0.8138733333333333,16.0
0,-1,-1,100.0,[0],[0],0.7863066666666667,17.0
0,-1,-1,100.0,[1],[1],0.4515922222222222,18.0
0,-1,-1,100.0,[1],[1],0.8017466666666667,19.0
0,-1,-1,0.0,[1],[0],0.8383544444444444,20.0
0,-1,-1,100.0,[0],[0],0.6006488888888889,21.0
0,-1,-1,0.0,[1],[0],0.7982966666666667,22.0
0,-1,-1,100.0,[1],[1],0.8743955555555556,23.0
0,-1,-1,100.0,[0],[0],0.8324766666666666,24.0
0,-1,-1,0.0,[0],[1],0.7328711111111111,25.0
0,-1,-1,0.0,[0],[1],0.8368811111111111,26.0
0,-1,-1,100.0,[0],[0],0.8110377777777777,27.0
0,-1,-1,0.0,[1],[0],0.3572277777777777,28.0
0,-1,-1,100.0,[0],[0],0.4845522222222222,29.0
0,-1,-1,100.0,[1],[1],0.4559522222222222,30.0
0,-1,-1,100.0,[1],[1],0.8400388888888889,31.0
0,-1,-1,100.0,[0],[0],0.8004411111111112,32.0
0,-1,-1,100.0,[0],[0],0.7115855555555556,33.0
0,-1,-1,0.0,[1],[0],0.6545088888888889,34.0
0,-1,-1,0.0,[0],[1],0.8309933333333334,35.0
0,-1,-1,0.0,[0],[1],0.8627322222222222,36.0
0,-1,-1,0.0,[1],[0],0.7836755555555556,37.0
0,-1,-1,100.0,[0],[0],0.35285,38.0
0,-1,-1,100.0,[1],[1],0.39925,39.0
0,-1,-1,100.0,[0],[0],0.8357144444444444,40.0
0,-1,-1,0.0,[1],[0],0.82073,41.0
0,-1,-1,0.0,[0],[1],0.6864655555555556,42.0
0,-1,-1,0.0,[1],[0],0.7647444444444444,43.0
0,-1,-1,100.0,[0],[0],0.7995777777777778,44.0
0,-1,-1,0.0,[0],[1],0.6666488888888888,45.0
