,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.1889833333333333,0.0
0,-1,-1,0.0,[1],[0],0.2517833333333333,1.0
0,-1,-1,0.0,[1],[0],0.18019,2.0
0,-1,-1,0.0,[1],[0],0.26418,3.0
0,-1,-1,0.0,[1],[0],0.2082666666666666,4.0
0,-1,-1,0.0,[1],[0],0.2248,5.0
0,-1,-1,0.0,[1],[0],0.18695,6.0
0,-1,-1,0.0,[1],[0],0.26168,7.0
0,-1,-1,0.0,[1],[0],0.2261266666666666,8.0
0,-1,-1,100.0,[0],[0],0.1847533333333333,9.0
0,-1,-1,0.0,[1],[0],0.2294666666666666,10.0
0,-1,-1,0.0,[1],[0],0.18115,11.0
0,-1,-1,0.0,[1],[0],0.2148,12.0
0,-1,-1,0.0,[1],[0],0.2250666666666666,13.0
0,-1,-1,0.0,[1],[0],0.2944533333333333,14.0
0,-1,-1,0.0,[1],[0],0.2007433333333333,15.0
0,-1,-1,0.0,[1],[0],0.2131333333333333,16.0
0,-1,-1,0.0,[1],[0],0.2590666666666666,17.0
0,-1,-1,100.0,[1],[1],0.1537266666666666,18.0
0,-1,-1,100.0,[1],[1],0.3161433333333333,19.0
0,-1,-1,0.0,[1],[0],0.21302,20.0
0,-1,-1,0.0,[1],[0],0.21203,21.0
0,-1,-1,0.0,[1],[0],0.2122,22.0
0,-1,-1,100.0,[1],[1],0.2101666666666666,23.0
0,-1,-1,0.0,[1],[0],0.2016666666666666,24.0
0,-1,-1,100.0,[1],[1],0.2449733333333333,25.0
0,-1,-1,100.0,[1],[1],0.1865333333333333,26.0
0,-1,-1,0.0,[1],[0],0.3188166666666667,27.0
0,-1,-1,0.0,[1],[0],0.1993033333333333,28.0
0,-1,-1,0.0,[1],[0],0.1312566666666666,29.0
0,-1,-1,100.0,[1],[1],0.12124,30.0
0,-1,-1,100.0,[1],[1],0.2004666666666666,31.0
0,-1,-1,0.0,[1],[0],0.2474233333333333,32.0
0,-1,-1,0.0,[1],[0],0.2291866666666666,33.0
0,-1,-1,0.0,[1],[0],0.17409,34.0
0,-1,-1,100.0,[1],[1],0.2670633333333333,35.0
0,-1,-1,100.0,[1],[1],0.1943333333333333,36.0
0,-1,-1,0.0,[1],[0],0.2446366666666666,37.0
0,-1,-1,0.0,[1],[0],0.1336233333333333,38.0
0,-1,-1,100.0,[1],[1],0.2773433333333333,39.0
0,-1,-1,0.0,[1],[0],0.33389,40.0
0,-1,-1,0.0,[1],[0],0.2638,41.0
0,-1,-1,100.0,[1],[1],0.2292,42.0
0,-1,-1,0.0,[1],[0],0.4265333333333333,43.0
0,-1,-1,0.0,[1],[0],0.2252366666666666,44.0
0,-1,-1,100.0,[1],[1],0.25529,45.0
