,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.5910744444444445,0.0
0,-1,-1,0.0,[1],[0],0.7375333333333334,1.0
0,-1,-1,100.0,[0],[0],0.6042066666666667,2.0
0,-1,-1,100.0,[0],[0],0.6173233333333333,3.0
0,-1,-1,0.0,[1],[0],0.7520666666666667,4.0
0,-1,-1,0.0,[1],[0],0.758,5.0
0,-1,-1,0.0,[1],[0],0.5650477777777778,6.0
0,-1,-1,0.0,[1],[0],0.7276666666666667,7.0
0,-1,-1,0.0,[1],[0],0.7414666666666667,8.0
0,-1,-1,0.0,[1],[0],0.7268,9.0
0,-1,-1,0.0,[1],[0],0.7601333333333333,10.0
0,-1,-1,100.0,[0],[0],0.6074822222222223,11.0
0,-1,-1,0.0,[1],[0],0.7377333333333334,12.0
0,-1,-1,100.0,[0],[0],0.5819033333333333,13.0
0,-1,-1,100.0,[0],[0],0.6826433333333334,14.0
0,-1,-1,0.0,[1],[0],0.7043333333333334,15.0
0,-1,-1,100.0,[0],[0],0.7405333333333334,16.0
0,-1,-1,100.0,[0],[0],0.6976666666666667,17.0
0,-1,-1,0.0,[0],[1],0.4648688888888889,18.0
0,-1,-1,0.0,[0],[1],0.7486,19.0
0,-1,-1,0.0,[1],[0],0.7333333333333333,20.0
0,-1,-1,0.0,[1],[0],0.6024688888888889,21.0
0,-1,-1,0.0,[1],[0],0.7337333333333333,22.0
0,-1,-1,100.0,[1],[1],0.7167333333333333,23.0
0,-1,-1,0.0,[1],[0],0.7430666666666667,24.0
0,-1,-1,100.0,[1],[1],0.7111333333333333,25.0
0,-1,-1,100.0,[1],[1],0.74,26.0
0,-1,-1,0.0,[1],[0],0.7458666666666667,27.0
0,-1,-1,0.0,[1],[0],0.4100555555555555,28.0
0,-1,-1,100.0,[0],[0],0.4615355555555555,29.0
0,-1,-1,0.0,[0],[1],0.4799177777777778,30.0
0,-1,-1,100.0,[1],[1],0.754,31.0
0,-1,-1,0.0,[1],[0],0.7503333333333333,32.0
0,-1,-1,0.0,[1],[0],0.7543333333333333,33.0
0,-1,-1,0.0,[1],[0],0.5964511111111112,34.0
0,-1,-1,0.0,[0],[1],0.7296666666666667,35.0
0,-1,-1,0.0,[0],[1],0.7420666666666667,36.0
0,-1,-1,0.0,[1],[0],0.7476,37.0
0,-1,-1,100.0,[0],[0],0.3602844444444444,38.0
0,-1,-1,100.0,[1],[1],0.4819222222222222,39.0
0,-1,-1,0.0,[1],[0],0.7458666666666667,40.0
0,-1,-1,0.0,[1],[0],0.7292666666666666,41.0
0,-1,-1,100.0,[1],[1],0.7552666666666666,42.0
0,-1,-1,0.0,[1],[0],0.7524,43.0
0,-1,-1,0.0,[1],[0],0.7446,44.0
0,-1,-1,100.0,[1],[1],0.6331066666666667,45.0
